"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"ACSM1" 8.15240592908916 -1.64970178631205 3.08518103145308 -0.534717985587724 0.592844882673847 NA
"ACSM2A" 316.166730252026 0.259481357575143 0.76541342171613 0.339008110144398 0.73460362055624 0.999333640143859
"ACSM2B" 131.185460851453 0.516875733166428 0.881617978873173 0.586280844484439 0.557686801448817 0.994108499549397
"ACSM3" 134.789503857321 -0.0016074506655146 1.27409209617546 -0.00126164401328586 0.998993353987624 0.999978395755832
"ACSM4" 8.23144214150361 1.17023836863372 2.09588688019691 0.558349966160283 0.576605431511193 NA
"ACSM5" 178.995175537276 -1.30509528847375 1.08651412707708 -1.20117654796141 0.2296827245487 0.842709287497094
"ACSM5P1" 6.9569252982597 2.9307077210951 3.22247775005553 0.909457860816755 0.363108491547426 NA
"ACSM6" 71.8832740259829 0.336900175444115 1.30606285035663 0.257950967177514 0.796444749349315 0.999333640143859
"ACSS1" 592.875732940784 -1.30902712415034 0.790628924515446 -1.65567826265982 0.0977869916430323 0.621309024399469
"ACSS2" 378.98573946455 -0.454278997901565 0.665213636164882 -0.682906923737453 0.494665658607541 0.983158153780058
"ACSS3" 505.755794490635 0.660708827242935 0.61963243707101 1.0662915427186 0.28629187140451 0.892390741613493
"ACTA1" 10.6648609525862 -0.0107758518275673 2.38235034028471 -0.00452320200154925 0.996391019263813 NA
"ACTA2" 1717.37927416121 1.4813117960693 0.78463556268942 1.88789785539665 0.0590396645209802 0.509962931401208
"ACTB" 32740.3469828932 -0.287010500094822 0.523236240980024 -0.548529474099978 0.583328396843805 0.998095225096172
"ACTBL2" 7.65925620985383 -2.08624244909426 4.24349429557442 -0.491633145653104 0.622978707356265 NA
"ACTBP1" 0.0572140011818021 -1.36451660003654 5.77037181932766 -0.236469441269996 0.81306841727062 NA
"ACTBP11" 0.0509467409566199 -2.32629428088941 5.77037181931721 -0.403144607268075 0.686841846726554 NA
"ACTBP12" 0 NA NA NA NA NA
"ACTBP14" 0.114428002363604 -0.443665329080849 5.73869855625423 -0.0773111402754074 0.938376028775352 NA
"ACTBP15" 0.549473546957261 -2.34189465133964 5.52545704488042 -0.423837273969852 0.671684492379544 NA
"ACTBP2" 0 NA NA NA NA NA
"ACTBP4" 28.0572238502127 -0.564951616322997 1.48254563895594 -0.381068617031482 0.703152333625043 0.999333640143859
"ACTBP6" 0.452497878135866 1.54299700140359 5.67167402462067 0.272053188301277 0.785581122705941 NA
"ACTBP7" 0 NA NA NA NA NA
"ACTBP8" 0.0509467409566199 -2.32629428088941 5.77037181931721 -0.403144607268075 0.686841846726554 NA
"ACTBP9" 0 NA NA NA NA NA
"ACTC1" 3.5177748978356 -0.474520643230137 3.12124088700368 -0.152029484557235 0.879163680630908 NA
"ACTE1P" 42.9672414812276 0.385624854459277 1.26478729653066 0.304893048433563 0.760447610400108 0.999333640143859
"ACTG1" 16723.7550266343 -0.16023063027563 0.612169836648463 -0.261742119070858 0.793520265865106 0.999333640143859
